2025-05-07 09:40:22 | Enojo
2025-05-07 09:41:14 | Feliz
2025-05-07 09:41:45 | Feliz
2025-05-07 19:55:08 | Triste
2025-05-08 00:09:39 | Triste
2025-05-10 20:03:24 | Feliz
2025-05-10 22:16:20 | Feliz
2025-05-10 22:16:37 | Feliz
2025-05-11 00:38:42 | Feliz
2025-05-11 00:39:06 | Enojo
2025-05-11 01:15:47 | Triste
2025-05-11 01:42:22 | Feliz
2025-05-11 16:19:07 | Feliz
2025-05-11 16:50:22 | Feliz
2025-05-12 10:09:14 | Triste
2025-05-12 10:09:26 | Feliz
2025-05-12 10:09:32 | Enojo
2025-05-13 08:51:09 | Feliz
2025-05-13 08:51:14 | Triste
2025-05-13 08:51:21 | Feliz
2025-05-13 08:51:32 | Enojo
2025-05-13 08:51:47 | Feliz
2025-05-22 10:43:23 | Neutral
2025-05-22 11:15:08 | Neutral
2025-05-22 11:15:36 | Enojado
2025-05-26 09:37:26 | Feliz
2025-05-26 09:37:30 | Feliz
2025-05-26 09:38:32 | Con miedo
2025-05-26 09:38:41 | Con miedo
2025-05-26 09:43:30 | Neutral
2025-05-26 09:43:56 | Triste
2025-05-26 09:44:41 | Neutral
2025-05-26 09:45:52 | Feliz
2025-05-26 09:49:28 | Triste
2025-05-26 09:52:32 | Feliz
2025-05-26 09:55:41 | Triste
2025-05-26 09:56:23 | Enojado
2025-05-26 09:57:19 | Feliz
2025-05-26 09:58:07 | Feliz
2025-05-26 09:58:23 | Enojado
2025-05-26 09:59:56 | Feliz
2025-05-26 09:59:58 | Feliz
2025-05-26 10:00:20 | Feliz
2025-05-26 10:00:23 | Feliz
2025-05-26 20:12:44 | Neutral
2025-05-28 08:48:46 | Neutral
2025-05-28 08:48:48 | Neutral
2025-05-28 08:53:51 | Feliz
2025-05-28 08:58:47 | Feliz
2025-05-28 09:00:29 | Feliz
2025-05-28 09:00:33 | Feliz
2025-05-28 09:09:18 | Triste
2025-05-28 09:10:21 | Feliz
2025-05-28 09:10:24 | Feliz
